index_type,num_partition,max_degree,alpha,efc,build_time,index_size,num_queries,efq1,efq2,query_time,comparison,recall
cspg,2,32,1.2,128,584.027,11724000000,1000,8,290,0.646514,5405074,0.9911
cspg,2,32,1.2,128,584.027,11724000000,1000,8,300,0.731331,5542233,0.992
cspg,2,32,1.2,128,584.027,11724000000,1000,16,10,0.102724,805070,0.577
cspg,2,32,1.2,128,584.027,11724000000,1000,16,20,0.142262,1071129,0.707
cspg,2,32,1.2,128,584.027,11724000000,1000,16,30,0.174552,1305666,0.7906
cspg,2,32,1.2,128,584.027,11724000000,1000,16,40,0.197855,1527925,0.8382
cspg,2,32,1.2,128,584.027,11724000000,1000,16,50,0.229341,1725930,0.8678
cspg,2,32,1.2,128,584.027,11724000000,1000,16,60,0.242457,1915468,0.8951
cspg,2,32,1.2,128,584.027,11724000000,1000,16,70,0.246963,2101660,0.9115
cspg,2,32,1.2,128,584.027,11724000000,1000,16,80,0.274564,2294477,0.9282
cspg,2,32,1.2,128,584.027,11724000000,1000,16,90,0.288508,2476877,0.939
cspg,2,32,1.2,128,584.027,11724000000,1000,16,100,0.319195,2652893,0.9435
cspg,2,32,1.2,128,584.027,11724000000,1000,16,110,0.343574,2826173,0.9507
cspg,2,32,1.2,128,584.027,11724000000,1000,16,120,0.341306,2998247,0.959
cspg,2,32,1.2,128,584.027,11724000000,1000,16,130,0.379009,3165402,0.9613
cspg,2,32,1.2,128,584.027,11724000000,1000,16,140,0.373287,3330689,0.9664
cspg,2,32,1.2,128,584.027,11724000000,1000,16,150,0.394732,3495223,0.97
cspg,2,32,1.2,128,584.027,11724000000,1000,16,160,0.399752,3657263,0.972
cspg,2,32,1.2,128,584.027,11724000000,1000,16,170,0.419261,3820400,0.9742
cspg,2,32,1.2,128,584.027,11724000000,1000,16,180,0.438818,3978519,0.977
cspg,2,32,1.2,128,584.027,11724000000,1000,16,190,0.476247,4137402,0.9798
cspg,2,32,1.2,128,584.027,11724000000,1000,16,200,0.47916,4289049,0.98
cspg,2,32,1.2,128,584.027,11724000000,1000,16,210,0.498107,4445073,0.9813
cspg,2,32,1.2,128,584.027,11724000000,1000,16,220,0.517518,4595427,0.9831
cspg,2,32,1.2,128,584.027,11724000000,1000,16,230,0.531299,4748905,0.9845
cspg,2,32,1.2,128,584.027,11724000000,1000,16,240,0.558232,4898932,0.9864
cspg,2,32,1.2,128,584.027,11724000000,1000,16,250,0.575255,5046795,0.9876
cspg,2,32,1.2,128,584.027,11724000000,1000,16,260,0.57657,5190955,0.9886
cspg,2,32,1.2,128,584.027,11724000000,1000,16,270,0.597561,5337536,0.9892
cspg,2,32,1.2,128,584.027,11724000000,1000,16,280,0.613421,5483142,0.9907
cspg,2,32,1.2,128,584.027,11724000000,1000,16,290,0.630229,5629220,0.9916
cspg,2,32,1.2,128,584.027,11724000000,1000,16,300,0.63208,5768213,0.9926
