index_type,num_partition,num_random_clusters,min_size_cluters,max_mst_degree,build_time,index_size,num_queries,efq1,efq2,query_time,comparison,recall
cspg,2,10,1000,5,142.28,671917848,10000,2,150,0.291903,21694597,0.99633
cspg,2,10,1000,5,142.28,671917848,10000,2,160,0.308271,22829638,0.99684
cspg,2,10,1000,5,142.28,671917848,10000,2,170,0.326267,23915254,0.99711
cspg,2,10,1000,5,142.28,671917848,10000,2,180,0.342771,24986492,0.9974
cspg,2,10,1000,5,142.28,671917848,10000,2,190,0.390195,26067061,0.99766
cspg,2,10,1000,5,142.28,671917848,10000,2,200,0.410686,27124348,0.998
cspg,2,10,1000,5,142.28,671917848,10000,2,210,0.41828,28175864,0.99829
cspg,2,10,1000,5,142.28,671917848,10000,2,220,0.406546,29208350,0.99851
cspg,2,10,1000,5,142.28,671917848,10000,2,230,0.417897,30239904,0.99856
cspg,2,10,1000,5,142.28,671917848,10000,2,240,0.437095,31263359,0.99869
cspg,2,10,1000,5,142.28,671917848,10000,2,250,0.575925,32272211,0.9988
cspg,2,10,1000,5,142.28,671917848,10000,2,260,0.536598,33271918,0.99891
cspg,2,10,1000,5,142.28,671917848,10000,2,270,0.548238,34269668,0.99903
cspg,2,10,1000,5,142.28,671917848,10000,2,280,0.544613,35258976,0.99911
cspg,2,10,1000,5,142.28,671917848,10000,2,290,0.519991,36247349,0.99925
cspg,2,10,1000,5,142.28,671917848,10000,2,300,0.513401,37218117,0.99929
cspg,2,10,1000,5,142.28,671917848,10000,4,10,0.0549661,4142828,0.77088
cspg,2,10,1000,5,142.28,671917848,10000,4,20,0.0758767,5746258,0.888
cspg,2,10,1000,5,142.28,671917848,10000,4,30,0.095574,7169335,0.93334
cspg,2,10,1000,5,142.28,671917848,10000,4,40,0.112943,8518174,0.95641
cspg,2,10,1000,5,142.28,671917848,10000,4,50,0.131884,9814237,0.96875
cspg,2,10,1000,5,142.28,671917848,10000,4,60,0.141877,11120716,0.97661
cspg,2,10,1000,5,142.28,671917848,10000,4,70,0.162029,12359833,0.98235
cspg,2,10,1000,5,142.28,671917848,10000,4,80,0.179234,13596343,0.98648
cspg,2,10,1000,5,142.28,671917848,10000,4,90,0.192738,14826035,0.98906
cspg,2,10,1000,5,142.28,671917848,10000,4,100,0.210284,16013068,0.9913
cspg,2,10,1000,5,142.28,671917848,10000,4,110,0.223275,17188912,0.99281
cspg,2,10,1000,5,142.28,671917848,10000,4,120,0.232277,18365337,0.99377
cspg,2,10,1000,5,142.28,671917848,10000,4,130,0.259315,19499726,0.99486
cspg,2,10,1000,5,142.28,671917848,10000,4,140,0.269716,20636300,0.9956
cspg,2,10,1000,5,142.28,671917848,10000,4,150,0.2982,21746680,0.99624
cspg,2,10,1000,5,142.28,671917848,10000,4,160,0.318084,22847793,0.99686
cspg,2,10,1000,5,142.28,671917848,10000,4,170,0.313636,23950633,0.99714
cspg,2,10,1000,5,142.28,671917848,10000,4,180,0.414941,25022330,0.9976
cspg,2,10,1000,5,142.28,671917848,10000,4,190,0.439166,26114532,0.99759
cspg,2,10,1000,5,142.28,671917848,10000,4,200,0.436349,27156647,0.99826
cspg,2,10,1000,5,142.28,671917848,10000,4,210,0.475236,28207090,0.99831
cspg,2,10,1000,5,142.28,671917848,10000,4,220,0.486123,29245997,0.99845
cspg,2,10,1000,5,142.28,671917848,10000,4,230,0.504959,30276825,0.99848
cspg,2,10,1000,5,142.28,671917848,10000,4,240,0.516561,31289996,0.99859
cspg,2,10,1000,5,142.28,671917848,10000,4,250,0.53088,32301918,0.99871
cspg,2,10,1000,5,142.28,671917848,10000,4,260,0.494467,33303500,0.99895
cspg,2,10,1000,5,142.28,671917848,10000,4,270,0.514405,34311931,0.99901
cspg,2,10,1000,5,142.28,671917848,10000,4,280,0.514568,35305468,0.99909
cspg,2,10,1000,5,142.28,671917848,10000,4,290,0.524282,36281097,0.99917
cspg,2,10,1000,5,142.28,671917848,10000,4,300,0.536884,37254357,0.99928
cspg,2,10,1000,5,142.28,671917848,10000,8,10,0.0571213,4277824,0.77055
cspg,2,10,1000,5,142.28,671917848,10000,8,20,0.0783842,5893378,0.88867
cspg,2,10,1000,5,142.28,671917848,10000,8,30,0.097836,7312045,0.93418
cspg,2,10,1000,5,142.28,671917848,10000,8,40,0.11642,8679761,0.95638
cspg,2,10,1000,5,142.28,671917848,10000,8,50,0.134686,10009141,0.96888
cspg,2,10,1000,5,142.28,671917848,10000,8,60,0.15127,11291909,0.97724
cspg,2,10,1000,5,142.28,671917848,10000,8,70,0.162936,12537736,0.98307
cspg,2,10,1000,5,142.28,671917848,10000,8,80,0.179541,13790418,0.98638
cspg,2,10,1000,5,142.28,671917848,10000,8,90,0.195467,15010037,0.98957
cspg,2,10,1000,5,142.28,671917848,10000,8,100,0.207044,16199241,0.99137
cspg,2,10,1000,5,142.28,671917848,10000,8,110,0.221016,17387745,0.99273
cspg,2,10,1000,5,142.28,671917848,10000,8,120,0.225106,18553890,0.99418
